latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
32.0750616,118.7706532,AS-NCN,North,East
32.2125,118.812,AS-NCN,North,East
37.8,120.75,AS-NCN,North,East
36.014189,120.20202,AS-NCN,North,East
37.0399299,115.66718,AS-NCN,North,East
31.15,121.1,AS-NCN,North,East
21.979933,108.654146,AS-SIN,North,East
27.778657,120.655148,AS-SCN,North,East
22.3666,112.7166,AS-SCN,North,East
26.314775,116.346995,AS-SCN,North,East
31.366365,121.61475,AS-NCN,North,East
34.414172,115.65637,AS-NCN,North,East
24.0,113.88333,AS-SCN,North,East
30.71666667,122.4833333,AS-NCN,North,East
22.302496,113.363816,AS-SCN,North,East
23.302822,116.774468,AS-SCN,North,East
40.11667,116.63333,AS-NCN,North,East
22.4760219,113.9127408,AS-SCN,North,East
22.543096,114.057865,AS-SCN,North,East
31.43333,121.08333,AS-NCN,North,East
39.029528,117.661226,AS-NCN,North,East
32.455778,119.923116,AS-NCN,North,East
38.982173,117.746172,AS-NCN,North,East
22.58333,113.13333,AS-SCN,North,East
36.706774,119.161756,AS-NCN,North,East
31.3510027,121.5850272,AS-NCN,North,East
27.9110235,120.8554106,AS-NCN,North,East
23.083,113.417,AS-SCN,North,East
30.580882,114.29635,AS-NCN,North,East
23.476963,111.279115,AS-SCN,North,East
30.4969304,114.3939601,AS-NCN,North,East
24.633,118.25,AS-SCN,North,East
30.995032,105.900818,AS-NCN,North,East
32.01667,112.15,AS-NCN,North,East
38.98333,117.48333,AS-NCN,North,East
20.028061,110.309418,AS-SIN,North,East
23.083,113.433,AS-SCN,North,East
25.25,119.03333,AS-SCN,North,East
22.265811,113.543785,AS-SCN,North,East
24.485792,118.031683,AS-SCN,North,East
24.356536,118.206734,AS-SCN,North,East
23.1,113.25,AS-SCN,North,East
27.1,120.317,AS-SCN,North,East
30.61667,122.05,AS-NCN,North,East
28.76667,104.56667,AS-NCN,North,East
30.691966,111.286471,AS-NCN,North,East
25.941937,117.365053,AS-SCN,North,East
24.466675,112.626495,AS-SCN,North,East
28.753105,104.642964,AS-NCN,North,East
37.539058,121.368981,AS-NCN,North,East
23.41667,112.4,AS-SCN,North,East
30.6174595,122.0852074,AS-NCN,North,East
24.466675,112.626495,AS-SCN,North,East
37.41058,121.378119,AS-NCN,North,East
22.93333,112.03333,AS-SCN,North,East
30.6,121.06667,AS-NCN,North,East
21.93333,113.21667,AS-SCN,North,East
29.985295,122.207215,AS-NCN,North,East
30.29956,108.039002,AS-NCN,North,East
27.883,121.117,AS-NCN,North,East
-10.4167,105.7167,AS-SIN,South,East
34.6,32.95,ME-MID,North,East
34.9833,33.75,ME-MID,North,East
35.1,33.95,ME-MID,North,East
35.1333,32.8333,EU-BLA,North,East
35.3333,33.3333,EU-BLA,North,East
34.9167,33.6167,ME-MID,North,East
35.0333,32.4,EU-BLA,North,East
34.6833,33.05,ME-MID,North,East
34.7333,33.2,ME-MID,North,East
35.1667,33.3667,ME-MID,North,East
34.7667,32.4167,EU-BLA,North,East
34.7167,33.3167,ME-MID,North,East
34.7333,33.3333,ME-MID,North,East
34.983,34.0,ME-MID,North,East
34.95,33.58333,ME-MID,North,East
34.9968356,33.3694007,ME-MID,North,East
34.98333,34.0,ME-MID,North,East
35.0541055,33.2436859,ME-MID,North,East
34.9,32.31667,EU-BLA,North,East
35.0596159,34.0093716,ME-MID,North,East
34.9413934,32.9680834,ME-MID,North,East
34.91667,33.63333,ME-MID,North,East
34.88333,33.63333,ME-MID,North,East
34.65,33.01667,ME-MID,North,East
35.0,33.88333,ME-MID,North,East
34.66667,33.05,ME-MID,North,East
34.8548144,33.5468888,ME-MID,North,East
34.9923198,33.7791944,ME-MID,North,East
35.03333,34.03333,ME-MID,North,East
35.16667,32.55,EU-BLA,North,East
34.96667,33.9,ME-MID,North,East
35.05,33.25,ME-MID,North,East
35.18333,32.66667,EU-BLA,North,East
35.05,34.01667,ME-MID,North,East
35.0153362,33.7407024,ME-MID,North,East
34.96667,33.83333,ME-MID,North,East
35.13333,32.83333,EU-BLA,North,East
34.73333,33.33333,ME-MID,North,East
41.75,45.1667,EU-BLA,North,East
42.2667,41.6333,EU-BLA,North,East
43.0,41.0,EU-BLA,North,East
41.6167547,41.6367455,EU-BLA,North,East
42.1582596,41.67137,EU-BLA,North,East
42.01667,41.71667,EU-BLA,North,East
22.25,114.15,AS-SCN,North,East
22.2833,114.1833,AS-SCN,North,East
22.3667,114.1167,AS-SCN,North,East
22.3,114.1667,AS-SCN,North,East
22.3,114.1667,AS-SCN,North,East
22.2833,114.1667,AS-SCN,North,East
22.3,114.1666667,AS-SCN,North,East
0.85,122.7833,AS-SIN,North,East
5.2333,105.6,AS-SIN,North,East
-6.0667,105.8833,AS-SIN,South,East
-1.2833,116.8333,AS-SIN,South,East
5.8167,95.3333,AS-SIN,North,East
1.0833,104.0333,AS-SIN,North,East
1.1667,104.0167,AS-SIN,North,East
-0.9667,102.7333,AS-SIN,South,East
-3.45,115.9833,AS-SIN,South,East
-2.8333,107.9167,AS-SIN,South,East
-8.8667,116.7167,AS-SIN,South,East
-8.7667,115.2167,AS-SIN,South,East
3.5,117.8,AS-SIN,North,East
-6.2,106.35,AS-SIN,South,East
-7.7333,109.0,AS-SIN,South,East
-6.7333,108.5667,AS-SIN,South,East
-6.0167,105.95,AS-SIN,South,East
-0.5,104.55,AS-SIN,South,East
-2.3333,140.1333,AS-SIN,South,East
-5.75,134.2167,AS-SIN,South,East
-1.5333,122.25,AS-SIN,South,East
1.0167,103.5667,AS-SIN,North,East
-8.6333,115.2,AS-SIN,South,East
-7.15,112.65,AS-SIN,South,East
-2.1333,132.1667,AS-SIN,South,East
-6.1833,106.8333,AS-SIN,South,East
-6.1333,106.8333,AS-SIN,South,East
-7.7333,112.5,AS-SIN,South,East
-2.5333,140.7,AS-SIN,South,East
-6.5833,110.65,AS-SIN,South,East
-7.9,110.3833,AS-SIN,South,East
-8.2167,124.5167,AS-SIN,South,East
-7.6167,113.8833,AS-SIN,South,East
-0.789275,113.921327,AS-SIN,South,East
1.1833,127.9,AS-SIN,North,East
-2.5333,110.2,AS-SIN,South,East
-6.3,106.3833,AS-SIN,South,East
